db_id,english,hinglish_light,hinglish_natural,hinglish_hindi_heavy,sql
cre_Drama_Workshop_Groups,What are the actual delivery dates of orders with quantity 1?,What are the actual delivery dates of orders with quantity ek?,Ek ka prapti tareekhe kya hain?,Kya ek ka prapti tareekh hai?,SELECT T1.Actual_Delivery_Date FROM Customer_Orders AS T1 JOIN ORDER_ITEMS AS T2 ON T1.Order_ID  =  T2.Order_ID WHERE T2.Order_Quantity  =  1
aircraft,What is the name and age of the pilot younger than 30 who has won the most number of times?,What is the name aur age yaar jo 30 se chota hain aur zikr honi waali barid ke baad khatte barse?,Jo 30 se chota hain aur zikr honi waali barid ke baad khatte barse wale pilot ka naam aur age kya hai?,Kyun khatte barse hui barid ke baad 30 se chota pilot ka naam aur age nahi suna hai?,"SELECT t1.name ,  t1.age FROM pilot AS t1 JOIN MATCH AS t2 ON t1.pilot_id  =  t2.winning_pilot WHERE t1.age  <  30 GROUP BY t2.winning_pilot ORDER BY count(*) DESC LIMIT 1"
student_assessment,Find distinct cities of addresses of people?,Find distinct cities of addresses of people?,Find distinct cities of addresses of people?,Find distinct cities of addresses of people?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id
school_bus,How many drivers are there?,How many drivers hai nahi?,Kya pichhe mein drivers hain kya?,Kya pichhe mein drivers hai nahi?,SELECT count(*) FROM driver
cre_Theme_park,What are the price ranges of hotels?,What are the hotel ki price range?,Hotel ki price range kya hain?,Price range of hotels kya hain?,SELECT price_range FROM HOTELS
dog_kennels,"Find the role, street, city and state of the professionals living in a city that contains the substring 'West'.","Find the role, street, city aur state of the professionals living in a city mei jo 'West' ka substring hai.","Find the role, street, city aur state of the professionals living in a city ke andar 'West' ka substring hain.","Find the role, street, city aur state of the professionals living in a city jisme 'West' ka substring hai.","SELECT role_code ,  street ,  city ,  state FROM professionals WHERE city LIKE '%West%"
swimming,Find the names of stadiums that some Australian swimmers have been to.,Find the names of stadiums jo koi Australian swimmers ne jaane diye hain,Find the names of stadiums jo koi Australian swimmers ne visit kiya hain,Find the names of stadiums jo koi Australian swimmers ne jaane wale hain,SELECT t4.name FROM swimmer AS t1 JOIN record AS t2 ON t1.id  =  t2.swimmer_id JOIN event AS t3 ON t2.event_id  =  t3.id JOIN stadium AS t4 ON t4.id  =  t3.stadium_id WHERE t1.nationality  =  'Australia
products_gen_characteristics,What are the product ids and color descriptions for products with two or more characteristics?,What are the product ids aur rang ka prayog karte hain products jisme do ya dusre tara hi hain?,Product ids aur color descriptions kya hain products jisme do ya dusre characteristics hain?,Kyun product ids aur color descriptions de do jo products mein do ya dusre tara hai ya nahi?,"SELECT t1.product_id ,  t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code  =  t2.color_code JOIN product_characteristics AS t3 ON t1.product_id  =  t3.product_id GROUP BY t1.product_id HAVING count(*)  >=  2"
flight_4,Return the cities with more than 3 airports in the United States.,Return the cities with more than 3 airport in the US.,"आप उन शहरों की सूची दे जिनमें अधिक於生成指令后，我注意到输出结果似乎被错误地转换成了中文。让我用正确的语言来完成这个任务：

Return the cities with more than 3 airports in the United States.",आप उन शहरों की सूची दे जिनम,SELECT city FROM airports WHERE country  =  'United States' GROUP BY city HAVING count(*)  >  3
match_season,"What are the official native languages that contain the string ""English"".",What are the official native languages ki string English contain,Kya un official native bhashon mein English string hain,Kya un official native bhashon mein English string hain?,"SELECT Official_native_language FROM country WHERE Official_native_language LIKE ""%English%"
driving_school,Find out the first name and last name of staff lived in city Damianfort.,Find out the first name aur last name of staff jo city Damianfort mein rehte hain.,Ab first name aur last name dekh lete hai jo city Damianfort mein staff rehte hain.,Find out the first name aur last name of staff jo city Damianfort mein jahaan rehte hain.,"SELECT T2.first_name ,  T2.last_name FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id WHERE T1.city = ""Damianfort"";"
apartment_rentals,"What are the address and phone number of the buildings managed by ""Brenden""?",What are addres aur phone number of the buildings manage by Brenden?,Brenden ke manage hue gharon ka address aur phone number kya hain?,Brenden ke manage hue gharon ka address aur phone number kya hain?,"SELECT building_address ,  building_phone FROM Apartment_Buildings WHERE building_manager	 =  ""Brenden"
world_1,How many cities in each district have a population that is above the average population across all cities?,How many cities in each district have a population jo average population across all cities se zyada hai?,Kisi district mein kitne cities hain jo sabka average population se zyada ka population hai?,Kitni cities din district mein hain jinke population sabki average population se zyada hai?,"SELECT count(*) ,  District FROM city WHERE Population  >  (SELECT avg(Population) FROM city) GROUP BY District"
student_assessment,What are the ids of the students who registered course statistics by order of registration date?,What are the ids of the students who registered course statistics by order of registration date?,"Kya students jo kisi ke registration date ki tarah course statistics register kiye hain, unki ids kya hain?","Kyaa students jo kisi ke registration date par course statistics register kiye hain, unki ids kya hain?","SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date"
driving_school,"What is the maximum, minimum, and average amount of money outsanding for all customers?","What is the maximum, minimum, aur average amount of money outsanding for all customers?","Maximum, minimum aur average rupaiya outstanding sabka liye kya hai?","Kya sabki liye maximum, minimum aur average rupaiya outstanding hai?","SELECT max(amount_outstanding) ,  min(amount_outstanding) ,  avg(amount_outstanding) FROM Customers;"
customer_complaints,What are the emails of customers who have filed complaints on the product which has had the greatest number of complaints?,What are the emails of customers jo have filed complaints aur jisme maximum complaints hain?,Kya emails hain ye customers ke jo product par complaints file kiye hain aur jo mein maximum complaints hain?,Kyi emails hain kya customers ki jo product par complaints file kiye hain aur jisme maximum complaints hain?,SELECT t1.email_address FROM customers AS t1 JOIN complaints AS t2 ON t1.customer_id  =  t2.customer_id GROUP BY t1.customer_id ORDER BY count(*) LIMIT 1
hr_1,What are the salaries and manager ids for employees who have managers?,What are the salaries aur manager ids employee ko jo manager hain?,Employee ki salaries aur manager ids kya hain jo unki manager hain?,"Kya employee ko jo manager hain, unki salaries aur manager ids kya hain?","SELECT salary ,  manager_id FROM employees WHERE manager_id != ""null"
bike_1,Return the unique name for stations that have ever had 7 bikes available.,Return a ekta nayi name jiska use hua hai un rasta par jo 7 cycle se jyada cycle de diye gaye huye the,Un rasta ka ek unique nayi name de jiska use hua hai 7 cycle se jyada cycle de diye gaye huye the,Rakho ek unique nayi name un rasta ke liye jo 7 bike se jyada bike de diye gaye huye the,SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id WHERE T2.bikes_available  =  7
poker_player,What is the average earnings of poker players with height higher than 200?,What is the average earnings of poker players with height greater than 200?,Poker players ki average earning kya hai jo stature 200 se zyada hai?,Kya pokers ka jinko height 200 se zyada hota hai unki average earnings hain?,SELECT avg(T2.Earnings) FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T1.Height  >  200
department_store,What are the distinct names of products purchased by at least two different customers?,What are the distinct names of products purchased by at least two different customers?,Kya do bar se baare mein purchases kiye gaye products ka distinct naam kya hain?,Kyi do baar se baare mein purchases kiye gaye products ka distinct naam kya hain?,SELECT DISTINCT T3.product_name FROM customer_orders AS T1 JOIN order_items AS T2 ON T1.order_id  =  T2.order_id JOIN products AS T3 ON T2.product_id  =  T3.product_id GROUP BY T3.product_id HAVING COUNT (DISTINCT T1.customer_id)  >=  2
assets_maintenance,Which gender makes up the majority of the staff?,Which gender forms the majority of the staff?,"Kya univasi jo staff mein bhi zyada hain, unka gender kya hai?","Kya gender jiska percentage staff mein zyada hain, uska?",SELECT gender FROM staff GROUP BY gender ORDER BY count(*) DESC LIMIT 1
soccer_2,How many students are enrolled in college?,How many students enrolled mein college hai?,College mein kitne students enrolled hain?,College mein kitne students enrolled hai mein?,SELECT sum(enr) FROM College
department_store,Return the names and ids of all products whose price is between 600 and 700.,Return the names aur ids sabhi products jinki prices 600 se 700 tak hain,Return names aur ids of all products jinki prices 600 se 700 tak hain,Return the names aur ids of all products jinki prices 600 se 700 tak hain,"SELECT product_name ,  product_id FROM products WHERE product_price BETWEEN 600 AND 700"
network_2,How many friends does Dan have?,How many friends dekhi Dan ka hai?,Dan ki kitni dosti hain?,Dekhi kitni dosti Dan ka hain?,SELECT count(T2.friend) FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name  =  T2.name WHERE T1.name  =  'Dan
formula_1,What is the forename and surname of the driver with the shortest laptime?,What is the forename aur surname yaar jo shortest laptime dete hain?,Forename aur surname kya hai jo driver shortest laptime ki wakt mein leni chalati hain?,Kya pata forename aur surname hota hai jo driver shortest laptime deta hai?,"SELECT T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid ORDER BY T2.milliseconds LIMIT 1"
e_learning,"Find the subject ID, name of subject and the corresponding number of courses for each subject, and sort by the course count in ascending order.","Find the subject ID, name of subject aur corresponding number of courses ke liye har ek subject ke liye details, aur fir sort karo course count ko ascending order mein.","Tabhi dekh lo, subject ID, subject ka naam aur uske corresponding courses ki number nikal lo, aur sort karo course count ke basis par ascending order mein.","Find the subject ID, name of subject, aur corresponding number of courses ke liye har ek subject ke liye details, aur fir sort karo course count ko ascending order mein.","SELECT T1.subject_id ,  T2.subject_name ,  COUNT(*) FROM Courses AS T1 JOIN Subjects AS T2 ON T1.subject_id  =  T2.subject_id GROUP BY T1.subject_id ORDER BY COUNT(*) ASC"
e_learning,"List the dates of enrollment and completion of the student with family name ""Zieme"" and personal name ""Bernie"".",List the dates of enrollment and completion of the student with family name Zieme aur personal name Bernie,Zieme ka student ke enrollment aur completion ki dates de,"Zieme ka student ke enrollment aur completion ki dates de, list karo please","SELECT T1.date_of_enrolment ,  T1.date_of_completion FROM Student_Course_Enrolment AS T1 JOIN Students AS T2 ON T1.student_id  =  T2.student_id WHERE T2.family_name  =  ""Zieme"" AND T2.personal_name  =  ""Bernie"
county_public_safety,Show the name of cities in the county that has the largest number of police officers.,Show the name of cities in the district jo maximum policewala hai.,Show the name of cities in the district jo maximum policewalaya hai.,Show the name of cities in the district jo maximum policewalaya hai.,SELECT name FROM city WHERE county_ID  =  (SELECT county_ID FROM county_public_safety ORDER BY Police_officers DESC LIMIT 1)
customers_card_transactions,"What are the ids, full names, and phones of each customer?","What are the ids, full names, aur phones of each customer?","Ids, full names aur phones kaun kaun hain har ek customer ke liye?","Kyun kya ids, full names aur phones har ek customer ke liye?","SELECT customer_id ,  customer_first_name ,  customer_last_name ,  customer_phone FROM Customers"
movie_1,What are the ids of all moviest hat have not been reviewed by Britanny Harris?,What are the ids of all movies that haven't been reviewed by Britanny Harris?,Kya sabse nahi review huye movies ka id kya hain jo Britanny Harris ne nahi review kiye hain?,Kyaa sabse nahi review huye moviiz ka id kya hain jo Britanny Harris ne nahi review kiye hain?,"SELECT mID FROM Rating EXCEPT SELECT T1.mID FROM Rating AS T1 JOIN Reviewer AS T2 ON T1.rID  =  T2.rID WHERE T2.name  =  ""Brittany Harris"
entrepreneur,What are the investors of entrepreneurs and the corresponding number of entrepreneurs invested by each investor?,"What are the investors of entrepreneurs aur woh investors jo kisi bhi investor ne kisi cheeze mein invest kiya hai, aur corresponding number of entrepreneurs invested by each investor?","Investors of entrepreneurs aur woh investors jo kisi bhi investor ne kisi cheeze mein invest kiya hai, aur corresponding number of entrepreneurs invested by each investor?",Investors of entrepreneurs aur woh investors jin ne kisi bhi entrepreneur ko fund kiya hai aur corresponding number of entrepreneurs invested by each investor?,"SELECT Investor ,  COUNT(*) FROM entrepreneur GROUP BY Investor"
university_basketball,How many universities have a location that contains NY?,How many universities have a location ki NY contain?,Kya kisi university ka location NY mein hain?,Kyunki kisi university ka location NY contain karta hai?,"SELECT count(*) FROM university WHERE LOCATION LIKE ""%NY%"
world_1,Which continent speaks the most languages?,Which continent has maximum bahasa?,Jisme sabse zyada bahasa bolte hain vahin ki jaan se?,Jisme maximum bahasa bolte hain woh continent kya hai?,SELECT T1.Continent FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode GROUP BY T1.Continent ORDER BY COUNT(*) DESC LIMIT 1
bike_1,"In zip code 94107, on which day neither Fog nor Rain was not observed?","In zip code 94107, uski zameen fog nahi dekhi aur rain bhi nahi dekhi?",Zip code 94107 mein kisi din bhi fog nahi dekha aur rain bhi nahi?,"In zip code 94107, ek din bhi fog nahi dekha aur rain bhi nahi dekha?","SELECT date FROM weather WHERE zip_code  =  94107 AND EVENTS != ""Fog"" AND EVENTS != ""Rain"
scientist_1,Count the number of different scientists assigned to any project.,Count the number of different scientists assigned to any project.,"Koi project mein kitne different scientists assign huye hai, pata karo.","Kitne different scientists ko kisi project ke liye assign kiya gaya hai, count karo.",SELECT count(DISTINCT scientist) FROM assignedto
election,What are the names of parties that do not have delegates in election?,What are the names of parties ki nahi koDelegate nahi chalate election mein?,Kya election meinDelegate nahi chalate party ki names kya hain?,Kyi names kya hain party ki jo election meinDelegate nahi chalte?,SELECT Party FROM party WHERE Party_ID NOT IN (SELECT Party FROM election)
party_host,What are the names of hosts who did not host any party in our record?,What are the names of hosts jo nahi kisi party ko host kiya hai records mein?,Kya aap log names de sakte hain ya toh kisi bhi party ko host nahi kiye huye hosts ke?,"Kyi names de karo ya toh party host nahi kiye huye hosts ki, records mein check kiya kyuki?",SELECT Name FROM HOST WHERE Host_ID NOT IN (SELECT Host_ID FROM party_host)
chinook_1,What is the name of the most common genre in all tracks?,What is the name of the most common genre in all tracks?,Jisme track sabhi mein common hota hai vo genre ka naam kya hai?,Kya hai tabhi track mein common hoti genre ka naam?,SELECT T1.Name FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId GROUP BY T2.GenreId ORDER BY COUNT(*) DESC LIMIT 1
gymnast,Give the hometowns from which two or more gymnasts are from.,Give the hometowns from which 2 aur more gymnasts milte hain,Dikhao ye gyamaston ka naiyash jismein 2 aur zyada gyamasto hain,"Give the hometowns se jo 2 aur zyada gyamast hain, wo milenge |",SELECT T2.Hometown FROM gymnast AS T1 JOIN people AS T2 ON T1.Gymnast_ID  =  T2.People_ID GROUP BY T2.Hometown HAVING COUNT(*)  >=  2
election_representative,What are the life spans of representatives from New York state or Indiana state?,What are the jeevan pratirodhak ka time New York state ya Indiana state se?,Kya New York state ya Indiana state ka jeevan pratirodhak kitne dur ke hain?,Kyi New York state ya Indiana state se jeevan pratirodhak ki time kyi hain?,"SELECT Lifespan FROM representative WHERE State  =  ""New York"" OR State  =  ""Indiana"
tracking_share_transactions,What are the purchase details of transactions with amount bigger than 10000?,What are the purchase details of transactions with amount bigger than 10000?,10000 se zyada amount ka transaksion ka purchase details kya hain?,Kya purchase details ho 10000 se jyada amount ka transaksion ke liye?,SELECT T1.purchase_details FROM PURCHASES AS T1 JOIN TRANSACTIONS AS T2 ON T1.purchase_transaction_id  =  T2.transaction_id WHERE T2.amount_of_transaction  >  10000
phone_1,"What are the chip model and screen mode of the phone with hardware model name ""LG-P760""?",What are the chip model aur screen mode of the phone jaise hardware model name 'LG-P760'?,Phone ka kis chip model aur screen mode hai jo hardware model name 'LG-P760' hai?,Kya phone jaise hardware model name 'LG-P760' ka kis chip model aur screen mode hai?,"SELECT chip_model ,  screen_mode FROM phone WHERE Hardware_Model_name = ""LG-P760"";"
tracking_orders,When was the order placed whose shipment tracking number is 3452? Give me the date.,When was the order placed jo shipment tracking number 3452 hai? Mujhe tareekh de.,Order ki shipment tracking number 3452 jo kya hai waha se when order place hua tha? Mujhe tareekh de.,Jo shipment tracking number 3452 hai vo order kahin se when place hua tha? Mujhe tareekh de.,SELECT T1.date_order_placed FROM orders AS T1 JOIN shipments AS T2 ON T1.order_id = T2.order_id WHERE T2.shipment_tracking_number = 3452
school_player,Show the locations of schools that have more than 1 player.,Show the locations of schools jaise mein 1 aur meri jaan ka player se zyada hain.,"Schools jaise mein 1 aur meri jaan ka player se zyada hain, unke locations de do.","schools jaise mein 1 aur meri jaan ka player se zyada hain, unki locations de do.",SELECT T2.Location FROM player AS T1 JOIN school AS T2 ON T1.School_ID  =  T2.School_ID GROUP BY T1.School_ID HAVING COUNT(*)  >  1
tracking_orders,what are the order id and customer id of the oldest order?,what are the order id aur oldest order ka customer id?,oldest order ka order id aur customer id kya hain?,kya aapka oldest order ka order id aur customer id pata chala hai?,"SELECT order_id ,  customer_id FROM orders ORDER BY date_order_placed LIMIT 1"
wta_1,Find the name and rank of the 3 youngest winners across all matches.,Find the name aur rank of the 3 naiyye winner acrosse sabke match,3 naiyye winner ke name aur rank dekh le acrosse sabke match,3 naiyye winner ki name aur rank dekh le acrosse sabke match,"SELECT DISTINCT winner_name ,  winner_rank FROM matches ORDER BY winner_age LIMIT 3"
city_record,Find the number of matches in different competitions.,Find the number of matches in different competitions.,Different kompetishens mein kitne matches milenge?,Find the number of matches in various kompetishens.,"SELECT count(*) ,  Competition FROM MATCH GROUP BY Competition"
pets_1,Find the id of the pet owned by student whose last name is ‘Smith’.,Find the id of the pet owned by student jo last name Smith hain.,Find the id of the pet jo student ka jo last name Smith hain.,Find the id of the pet owned by student jo last name Smith hain.,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith
student_1,Find the number of teachers who teach the student called MADLOCK RAY.,Find the number of teachers who teach the student called MADLOCK RAY,MADLOCK RAY ke teach karne wale teachers ka count de,dekh le MADLOCK RAY ko teach karne wale teachers ki tarah kitni numbers hain,"SELECT count(*) FROM list AS T1 JOIN teachers AS T2 ON T1.classroom  =  T2.classroom WHERE T1.firstname  =  ""MADLOCK"" AND T1.lastname  =  ""RAY"
tvshow,What is the content of the series Sky Radio?,What is the content of the series Sky Radio?,Series Sky Radio ke mein kya hai?,Series Sky Radio mein kya hai?,"SELECT Content FROM TV_Channel WHERE series_name = ""Sky Radio"";"
hospital_1,What are the distinct names of nurses on call?,What are the distinct names of nurses on call?,Kya nurses on call ka different naam kya hain?,Kyi nurses on call ki different name kyi hain?,SELECT DISTINCT T1.name FROM nurse AS T1 JOIN on_call AS T2 ON T1.EmployeeID  =  T2.nurse
sakila_1,Return the titles of any movies with an R rating.,Return the titles of any movies with an R rating.,R rating ka anya filmon ka title bhejiye.,R rating ka anya films ki titles dalo.,SELECT title FROM film WHERE rating  =  'R
baseball_1,Which cities have 2 to 4 parks?,Which cities have 2 to 4 पार्क्स?,किन शहरों में 2 से 4 पार्क हैं?,किन शहरों में 2 से 4 पार्क्स हैं?,SELECT city FROM park GROUP BY city HAVING count(*) BETWEEN 2 AND 4;
tracking_software_problems,Which problems were reported before the date of any problem reported by the staff Lysanne Turcotte? Give me the ids of the problems.,Which problems kya pehle se bata diye gaye thé,pehle se staff Lysanne Turcotte ne kisi problem ko bata diya hai wale date ke pehle kya problems bata diye gaye thé? Mujhe uske ids chahiye.,kya pehle se staff Lysanne Turcotte ne kisi problem ko bata diya hai wale date ke pehle kya problems bata diye gaye thé? Mujhe uske ids chahiye.,"SELECT T1.problem_id FROM problems AS T1 JOIN staff AS T2 ON T1.reported_by_staff_id = T2.staff_id WHERE date_problem_reported  <  ( SELECT min(date_problem_reported) FROM problems AS T3 JOIN staff AS T4 ON T3.reported_by_staff_id = T4.staff_id WHERE T4.staff_first_name = ""Lysanne"" AND T4.staff_last_name = ""Turcotte"" )"
insurance_policies,Return the distinct customer details.,Return the distinct customer details.,Return the unique customer details.,Return the distinct customer details.,SELECT DISTINCT customer_details FROM Customers
customers_and_addresses,"Return the number of customers who have at least one order with ""Cancelled"" status.",Return the number of customers jo ek baar 'Cancelled' status ka order liya hoga,Return the number of customers jo 'Cancelled' status ka ek order liya hoga,Return the number of customers jo ek order 'Cancelled' status ke liye liya hoga,"SELECT count(DISTINCT customer_id) FROM customer_orders WHERE order_status  =  ""Cancelled"
hospital_1,What are each physician's employee id and department id primarily affiliated.,What are each physician ka employee id aur department id mostly prafilted?,Kya har physician ka employee id aur department id prafilted hain?,Kya har physician ka employee id aur department id prafilted hain?,"SELECT physician ,  department FROM affiliated_with WHERE primaryaffiliation  =  1"
phone_market,List the names of phones in ascending order of price.,List the names of phones in ascending order of price.,Phone names list karo price ke ascending order mein.,Phone names list karo price ke increasing order mein.,SELECT Name FROM phone ORDER BY Price ASC
workshop_paper,Sort the each workshop in alphabetical order of the venue. Return the date and venue of each workshop.,Sort each workshop in alphabetical order of the venue.,Each workshop sort karo venue ke naam se abcd mein.,"Sort kar lo诸workshop诸,诸venue诸 ki诸 basis par诸 alphabetical order mein.","SELECT Date ,  Venue FROM workshop ORDER BY Venue"
wrestler,What are the times of elimination for any instances in which the elimination was done by Punk or Orton?,What are the times of elimination for any instances in which the elimination was done by Punk or Orton?,Punk aur Orton ne kisi bhi instance mein kaun kaun se elimination karene ke liye time kya hain?,Kya time hain elimination karne ke liye Punk aur Orton ne kisi bhi instance mein?,"SELECT TIME FROM elimination WHERE Eliminated_By  =  ""Punk"" OR Eliminated_By  =  ""Orton"
orchestra,What is the record company used by the greatest number of orchestras?,What is the sound company jo sabse zyada orkestra use karte hain?,Kya jayenge orkestra ka sound company jo sabse zyada use karte hain?,Kyi kya sound company jiska use sabse zyada orkestra ki tarah roman script mei kiya gaya hai?,SELECT Record_Company FROM orchestra GROUP BY Record_Company ORDER BY COUNT(*) DESC LIMIT 1
student_assessment,Find id of the candidate whose email is stanley.monahan@example.org?,Find id of the candidate jaise email stanley.monahan@example.org hai?,Find id wo candidate ka jo email stanley.monahan@example.org hai?,Find id of the candidate jaise email stanley.monahan@example.org hai?,"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org"
college_2,Find courses that ran in Fall 2009 but not in Spring 2010.,Find courses ki honge jo Fall 2009 mei rann huye the,Fall 2009 mei rann huye the lekin Spring 2010 mei nahi rann huye,Fall 2009 mei rann huye the lekin Spring 2010 mei nahi rann huye courses find karo,SELECT course_id FROM SECTION WHERE semester  =  'Fall' AND YEAR  =  2009 EXCEPT SELECT course_id FROM SECTION WHERE semester  =  'Spring' AND YEAR  =  2010
formula_1,What are the numbers of races for each constructor id?,What are the numbers of races for each constructor id?,Constructor ki kitne rassein hain unhein kya?,konstruktor ke liye kitne rasein hain unke ids ke?,"SELECT count(*) ,  constructorid FROM constructorStandings GROUP BY constructorid"
restaurant_1,Which city does student Linda Smith live in?,Which city de Linda Smith ne rakhdi hai?,De kya city mein Linda Smith ne rakhdi hai?,De kya city mein Linda Smith ne rakhdi hai?,"SELECT city_code FROM Student WHERE Fname = ""Linda"" AND Lname = ""Smith"";"
dorm_1,Find the average and total capacity of dorms for the students with gender X.,"Find the average aur total kapasiti yaad rahe, dorms ke studenton ko gender X ke liye.","Find the average aur total kapasiti yaad rahe, dorms mein hain studenton ko gender X ke liye.","Find the average aur total kapasiti yaad rahe, dorms mein hain studenton ko gender X ke liye.","SELECT avg(student_capacity) ,  sum(student_capacity) FROM dorm WHERE gender  =  'X"
music_2,"What are the types of vocals that the musician with the last name ""Heilo"" played in ""Der Kapitan""?",What are the types of vocals कि हीलो नामक संगीतकार ने 'दर कपिटन' में गाएं?,क्या दर कपिटन में हीलो नामक संगीतकार ने कौन से वोकल टाइप गाएं?,Kyā der kapitan mēn Heilo nā,"SELECT TYPE FROM vocals AS T1 JOIN songs AS T2 ON T1.songid  =  T2.songid JOIN band AS T3 ON T1.bandmate  =  T3.id WHERE T3.lastname  =  ""Heilo"" AND T2.title  =  ""Der Kapitan"
world_1,What are the names and areas of countries with the top 5 largest area?,What are the names aur janhit kaamna ki top 5 bari thi kya?,Kya top 5 bari walo ke nam aur janhit ke baare mein pata chahiye?,Kyi maan ki aur janhit ki top 5 bari wale kaun hain kyunki?,"SELECT Name ,  SurfaceArea FROM country ORDER BY SurfaceArea DESC LIMIT 5"
school_bus,Show the types of schools that have two schools.,Show the types of schools jo do madarsa hain,Do madarsa hone wale types of schools de do,de do types of schools jo do madarsa hain,SELECT TYPE FROM school GROUP BY TYPE HAVING count(*)  =  2
college_2,Find the name of instructor who is the advisor of the student who has the highest number of total credits.,Find the name of instructor jo is advisor of the student jo sabse zyada total credits ka badl liya hai,Ek instructor ka naam pta karo jo ek student ki advisor hai jo sabka zyada total credits hain,Find the name of instructor who is advisor of the student who has the highest number of total credits but in Hindi roman script mein likha hai,SELECT T2.name FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id ORDER BY T3.tot_cred DESC LIMIT 1
farm,"What are the official names of cities, ordered descending by population?","What are the official names of cities, ordered descending by population?","Official namen cityan kya hain, population ke basis par nishchit tarah se jaldii?","Kya cityon ki official namen hain, population ke hisaab se nishchit tarah se jaldii?",SELECT Official_Name FROM city ORDER BY Population DESC
behavior_monitoring,Find the ids and first names of the 3 teachers that have the most number of assessment notes?,Find the ids aur first names of the 3 teachers jo sabse zyada assessment notes kaam karte hain?,Find the ids aur first names of the 3 teachers jo sabse zyada assessment notes mein part legi/hain?,Find the ids aur first names of the 3 teachers jo sabse zyada assessment notes mein part legi/hain?,"SELECT T1.teacher_id ,  T2.first_name FROM Assessment_Notes AS T1 JOIN Teachers AS T2 ON T1.teacher_id  =  T2.teacher_id GROUP BY T1.teacher_id ORDER BY count(*) DESC LIMIT 3"
cre_Drama_Workshop_Groups,What is the most frequent status of bookings?,What is the most common booking status?,"Booking ka jaise jaise hain, unmein kya adhik jyada hota hai?","Kyonki booking karein, unmein kya status sabse zyaada aata hai?",SELECT Status_Code FROM BOOKINGS GROUP BY Status_Code ORDER BY count(*) DESC LIMIT 1
game_1,Show all male student ids who don't play football.,Show all male student ids jo nahi kick ball.,Show all male student ids jo nahi khelte football.,Show sab male student ids ki jankariyon jo nahi football khelte hain.,"SELECT StuID FROM Student WHERE sex  =  'M' EXCEPT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"
e_government,What is the name of organization that has the greatest number of contact individuals?,What is the name of the organization jo has the maximum number of contact persons?,Name of the organization jo has maximum contact persons kya hai?,Kya hai organization jo mai maximum contact persons has karein?,SELECT t1.organization_name FROM organizations AS t1 JOIN organization_contact_individuals AS t2 ON t1.organization_id  =  t2.organization_id GROUP BY t1.organization_name ORDER BY count(*) DESC LIMIT 1
icfp_1,"Which papers were written by authors from the institution ""Google""?",Which papers were written by authors from the institution Google?,Jisme authors from the institution Google ne apni papers likhi hain?,jisme papers likhe gaye hain jo authors from the institution Google ne kiye huye hain?,"SELECT DISTINCT t1.title FROM papers AS t1 JOIN authorship AS t2 ON t1.paperid  =  t2.paperid JOIN inst AS t3 ON t2.instid  =  t3.instid WHERE t3.name  =  ""Google"
match_season,"What are the names of colleges that have two or more players, listed in descending alphabetical order?","What are the names of colleges jo 2 aur meri players hain, jaise ki saara zamaana tak baitha hai?","Kya aapne college name dekhne ke liye jo 2 aur meri players hain, phir uske baad alphabet se zyada badhne wale college name dene hain?","Kyaa aapki jagah college names dekhne kaam aaye jo 2 aur meri players hain, aur uske baad alphabet mein zyada badhne w",SELECT College FROM match_season GROUP BY College HAVING count(*)  >=  2 ORDER BY College DESC
workshop_paper,Count the number of submissions.,Count the number of submissions.,Number of sunnaiyan ka count karo.,Count the number of submissions ka sunnaiyan.,SELECT count(*) FROM submission
entertainment_awards,What are the names and locations of festivals?,What are the names aur jgh mein fестивалей?,Kya festivalon ka naam aur jgh kya hain?,Kyi festival ki nām aur jgh kya hain?,"SELECT Festival_Name ,  LOCATION FROM festival_detail"
